label_i,label_j,delta_ipr,w1
RGG k=10,SBM q=1.0,0.011100961798680229,0.13472637086819175
RGG k=10,Gauss k=5,0.058031805853684754,0.17484254351692433
RGG k=10,Gauss k=10,0.018167178138937198,0.016713511190508068
RGG k=10,Mix k=5,0.04349510177489216,0.16227978329113169
RGG k=10,Star,0.14545766474836566,0.22760313459670029
SBM q=0.2,SBM q=0.5,2.481011978353216e-05,0.01685094277212444
SBM q=0.2,SBM q=1.0,5.437190664394492e-06,0.038916338811586466
SBM q=0.2,Gauss k=5,0.06912733046170058,0.2430389012336599
SBM q=0.2,Gauss k=10,0.029262702746953032,0.11857688585983917
SBM q=0.2,Mix k=5,0.054590626382907986,0.22648417776411817
SBM q=0.2,Star,0.1565531893563815,0.1671154008589279
SBM q=0.5,SBM q=1.0,3.0247310447926654e-05,0.02213671189919086
SBM q=0.5,Gauss k=5,0.06910252034191705,0.25703633128361114
SBM q=0.5,Gauss k=10,0.0292378926271695,0.12780294018949917
SBM q=0.5,Mix k=5,0.054565816263124456,0.24054124759984835
SBM q=0.5,Star,0.15652837923659796,0.15052655555390942
SBM q=1.0,Gauss k=5,0.06913276765236498,0.2762059876282038
SBM q=1.0,Gauss k=10,0.029268139937617427,0.14272666970450293
SBM q=1.0,Mix k=5,0.054596063573572384,0.2599945523959341
SBM q=1.0,Star,0.1565586265470459,0.12867466189009105
Gauss k=5,Gauss k=10,0.03986462771474755,0.15904219116451065
Gauss k=5,Mix k=5,0.014536704078792595,0.020524902255288312
Gauss k=5,Star,0.08742585889468091,0.38802679896966646
Gauss k=10,Mix k=5,0.025327923635954958,0.14638132941320153
Gauss k=10,Star,0.12729048660942846,0.23874179759463543
Mix k=5,Star,0.1019625629734735,0.3742897988188104
