city_a,city_b,similarity_low,similarity_mid,similarity_high,iso_a,iso_b
Bay Wheels SF,Valenbisi València,0.73367207556665,0.8297993177580001,0.7352479791273894,US,ES
Bay Wheels SF,BikeMi Milan,0.7602311589717132,0.8921111491429947,0.8372245610723729,US,IT
Bay Wheels SF,Villo Bruxelles,0.6808051461153402,0.8798126318059728,0.5761363693400507,US,BE
Bay Wheels SF,Velo Antwerpen,0.6676595381973501,0.9367752998508699,0.5123957362287334,US,BE
Bay Wheels SF,Metrorower,0.8752281056546386,0.9434294611990635,0.6515384125917576,US,PL
Bay Wheels SF,Mevo Gdańsk,0.7313890770062506,0.9385328915463821,0.6669412891015774,US,PL
Bay Wheels SF,Velospot CH,0.6594238445721761,0.9457215861362168,0.6810786432920566,US,CH
Bay Wheels SF,Ecobici Ciudad de Mexico,0.706808792709476,0.8840889736271778,0.44232425850146256,US,MX
Bay Wheels SF,Ecobici Buenos Aires,0.7048345585520517,0.8308723853795408,0.6394523664523875,US,AR
Bay Wheels SF,Bike Itaú Rio,0.7982060842768975,0.9580866616022897,0.6417879253682498,US,BR
Bluebikes Boston,Biketown Portland,0.8668396480208654,0.9380769682009671,0.6141928137511854,US,US
Bluebikes Boston,BIXI Montréal,0.8814336510489421,0.8762898663935746,0.6185609116171484,US,CA
Bluebikes Boston,Bike Share Toronto,0.9065924681656681,0.958438459409989,0.6073447957094417,US,CA
Bluebikes Boston,Vélib Paris,0.8425749591356365,0.8069226695162245,0.5963550601923808,US,FR
Bluebikes Boston,Vélo'v Lyon,0.8668595745646764,0.916704013613018,0.5606690051446912,US,FR
Bluebikes Boston,VéLÔ Toulouse,0.8556777346322599,0.952386681980762,0.7274384777232773,US,FR
Bluebikes Boston,Le VélO Bordeaux,0.8117376720795779,0.832897411726312,0.6820808007736429,US,FR
Bluebikes Boston,Le Vélo Marseille,0.8674782821083707,0.8608097655209895,0.5322578342190449,US,FR
Bluebikes Boston,Santander London,0.8659453427415438,0.9326826990576192,0.8393555233367609,US,GB
Bluebikes Boston,Beryl Bournemouth,0.7850418347014922,0.832201462639114,0.4690260750718667,US,GB
Bluebikes Boston,Beryl Manchester,0.8579494535421477,0.9159731797655452,0.7229703298529558,US,GB
Bluebikes Boston,Nextbike Berlin,0.8407043188781208,0.9249836596196619,0.49920582828967197,US,DE
Bluebikes Boston,Swabi Augsburg,0.8708118555163766,0.9477844440538353,0.5493054888100655,US,DE
Bluebikes Boston,Nextbike Praha,0.7203217919778314,0.9460408960063033,0.5344846941220355,US,CZ
Bluebikes Boston,BiciMAD Madrid,0.8900193058166281,0.9539100813152852,0.8100695287395759,US,ES
Bluebikes Boston,Bicing Barcelona,0.8042342065500915,0.9153424850374793,0.9306317784029104,US,ES
Bluebikes Boston,Valenbisi València,0.8227884821280437,0.8275311940582761,0.5397068186428143,US,ES
Bluebikes Boston,BikeMi Milan,0.8494373503269647,0.8897679911285564,0.8651913869189964,US,IT
Bluebikes Boston,Villo Bruxelles,0.7667904741534267,0.8765113882662976,0.7840293856628163,US,BE
Bluebikes Boston,Velo Antwerpen,0.7493397059906469,0.9405131625536409,0.6972462819999837,US,BE
Bluebikes Boston,Metrorower,0.8042208411237263,0.9223202171730257,0.5087417570486813,US,PL
Bluebikes Boston,Mevo Gdańsk,0.6583800528433904,0.9295539273941691,0.5068832320455532,US,PL
Bluebikes Boston,Velospot CH,0.5895904893413866,0.9406504462386233,0.5373551196689881,US,CH
Bluebikes Boston,Ecobici Ciudad de Mexico,0.7953144492535257,0.8833418652522492,0.6018647058821044,US,MX
Bluebikes Boston,Ecobici Buenos Aires,0.79385478860685,0.8306792243025715,0.8682040150344652,US,AR
Bluebikes Boston,Bike Itaú Rio,0.7526881289232248,0.959081179669977,0.48179085027491003,US,BR
