city,atlas,split_id,N,z_kde,r2_spec_inductive
d10_velivert_saint_etienne,world_fr_v_livert,6,97,2.72938324376681,0.1723090552921266
d10_velivert_saint_etienne,world_fr_v_livert,7,97,2.72938324376681,0.5071311870417796
d10_velivert_saint_etienne,world_fr_v_livert,8,97,2.72938324376681,0.558664388052818
d10_velivert_saint_etienne,world_fr_v_livert,9,97,2.72938324376681,0.5422924331773875
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,0,228,-2.1172463290679917,0.0
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,1,228,-2.1172463290679917,0.20827993706967385
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,2,228,-2.1172463290679917,0.1652252629900346
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,3,228,-2.1172463290679917,0.19523257976104602
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,4,228,-2.1172463290679917,0.13821366225722287
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,5,228,-2.1172463290679917,0.21538707200359697
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,6,228,-2.1172463290679917,0.2274111922943154
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,7,228,-2.1172463290679917,0.1890050044755749
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,8,228,-2.1172463290679917,0.24678490333452807
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,9,228,-2.1172463290679917,0.20407265408991215
d10_velonecy60minutes_annecy,world_fr_v_lonecy,0,80,-1.4496329205324168,0.0
d10_velonecy60minutes_annecy,world_fr_v_lonecy,1,80,-1.4496329205324168,0.1335198282655895
d10_velonecy60minutes_annecy,world_fr_v_lonecy,2,80,-1.4496329205324168,0.5141003420093857
d10_velonecy60minutes_annecy,world_fr_v_lonecy,3,80,-1.4496329205324168,0.47520093167731625
d10_velonecy60minutes_annecy,world_fr_v_lonecy,4,80,-1.4496329205324168,0.5800042781129616
d10_velonecy60minutes_annecy,world_fr_v_lonecy,5,80,-1.4496329205324168,0.10101498102521078
d10_velonecy60minutes_annecy,world_fr_v_lonecy,6,80,-1.4496329205324168,0.4500192549044212
d10_velonecy60minutes_annecy,world_fr_v_lonecy,7,80,-1.4496329205324168,0.48430235844373437
d10_velonecy60minutes_annecy,world_fr_v_lonecy,8,80,-1.4496329205324168,0.5695188097988662
d10_velonecy60minutes_annecy,world_fr_v_lonecy,9,80,-1.4496329205324168,0.5051894622328201
d10_vilvolt_epinal,world_fr_vilvolt,0,106,3.8399795679778768,0.2959633677114737
d10_vilvolt_epinal,world_fr_vilvolt,1,106,3.8399795679778768,0.02237050179726796
d10_vilvolt_epinal,world_fr_vilvolt,2,106,3.8399795679778768,0.3125678770354646
d10_vilvolt_epinal,world_fr_vilvolt,3,106,3.8399795679778768,0.332431471977384
d10_vilvolt_epinal,world_fr_vilvolt,4,106,3.8399795679778768,0.2057055471838629
d10_vilvolt_epinal,world_fr_vilvolt,5,106,3.8399795679778768,0.22353057515087016
d10_vilvolt_epinal,world_fr_vilvolt,6,106,3.8399795679778768,0.41456536508514574
d10_vilvolt_epinal,world_fr_vilvolt,7,106,3.8399795679778768,0.48978318444034585
d10_vilvolt_epinal,world_fr_vilvolt,8,106,3.8399795679778768,0.5189532295517683
d10_vilvolt_epinal,world_fr_vilvolt,9,106,3.8399795679778768,0.5203657023084814
d10_zebullo,world_fr_zebullo,0,66,-1.1817038102878736,0.38703124474410344
d10_zebullo,world_fr_zebullo,1,66,-1.1817038102878736,0.16263352915959883
d10_zebullo,world_fr_zebullo,2,66,-1.1817038102878736,0.5625280960231696
d10_zebullo,world_fr_zebullo,3,66,-1.1817038102878736,0.45098891113442185
d10_zebullo,world_fr_zebullo,4,66,-1.1817038102878736,0.45942210991971166
d10_zebullo,world_fr_zebullo,5,66,-1.1817038102878736,0.4667151760365674
d10_zebullo,world_fr_zebullo,6,66,-1.1817038102878736,0.2947057989527997
d10_zebullo,world_fr_zebullo,7,66,-1.1817038102878736,0.36073122344185005
d10_zebullo,world_fr_zebullo,8,66,-1.1817038102878736,0.299393951198197
d10_zebullo,world_fr_zebullo,9,66,-1.1817038102878736,0.41385957990432987
d14_montreal_bixi,world_ca_bixi_montr_al,0,717,-1.393289033172466,0.5463064338963568
d14_montreal_bixi,world_ca_bixi_montr_al,1,717,-1.393289033172466,0.49308684077471776
d14_montreal_bixi,world_ca_bixi_montr_al,2,717,-1.393289033172466,0.505403264591489
d14_montreal_bixi,world_ca_bixi_montr_al,3,717,-1.393289033172466,0.5133915425287798
d14_montreal_bixi,world_ca_bixi_montr_al,4,717,-1.393289033172466,0.5303629809917279
d14_montreal_bixi,world_ca_bixi_montr_al,5,717,-1.393289033172466,0.542231791006236
d14_montreal_bixi,world_ca_bixi_montr_al,6,717,-1.393289033172466,0.5448109842552931
d14_montreal_bixi,world_ca_bixi_montr_al,7,717,-1.393289033172466,0.5283177713025967
d14_montreal_bixi,world_ca_bixi_montr_al,8,717,-1.393289033172466,0.5897541836130822
d14_montreal_bixi,world_ca_bixi_montr_al,9,717,-1.393289033172466,0.5324388193881298
d16_london_tfl,london_tfl,0,788,-12.747587995559863,0.16571427472320255
d16_london_tfl,london_tfl,1,788,-12.747587995559863,0.16898496665742235
d16_london_tfl,london_tfl,2,788,-12.747587995559863,0.18177216542914965
d16_london_tfl,london_tfl,3,788,-12.747587995559863,0.16474537719444926
d16_london_tfl,london_tfl,4,788,-12.747587995559863,0.23664298367328818
d16_london_tfl,london_tfl,5,788,-12.747587995559863,0.16570307503611448
d16_london_tfl,london_tfl,6,788,-12.747587995559863,0.1404680728941905
d16_london_tfl,london_tfl,7,788,-12.747587995559863,0.18763471195545822
d16_london_tfl,london_tfl,8,788,-12.747587995559863,0.16490392246135843
d16_london_tfl,london_tfl,9,788,-12.747587995559863,0.22274433869548516
d3_boston_bluebikes,boston_bluebikes,0,493,-3.5359695428935165,0.5767022431045505
d3_boston_bluebikes,boston_bluebikes,1,493,-3.5359695428935165,0.5614024468091197
d3_boston_bluebikes,boston_bluebikes,2,493,-3.5359695428935165,0.5924360789077612
d3_boston_bluebikes,boston_bluebikes,3,493,-3.5359695428935165,0.7012437398176634
d3_boston_bluebikes,boston_bluebikes,4,493,-3.5359695428935165,0.6153715388656192
d3_boston_bluebikes,boston_bluebikes,5,493,-3.5359695428935165,0.5835935531643685
d3_boston_bluebikes,boston_bluebikes,6,493,-3.5359695428935165,0.5497287811725029
d3_boston_bluebikes,boston_bluebikes,7,493,-3.5359695428935165,0.6567177979789255
d3_boston_bluebikes,boston_bluebikes,8,493,-3.5359695428935165,0.5327425298303972
d3_boston_bluebikes,boston_bluebikes,9,493,-3.5359695428935165,0.5124093557305941
d3_chicago_divvy,chicago_divvy,0,1337,-2.4065046415887537,0.6951229364777157
d3_chicago_divvy,chicago_divvy,1,1337,-2.4065046415887537,0.6163620323278021
d3_chicago_divvy,chicago_divvy,2,1337,-2.4065046415887537,0.5764652884244618
d3_chicago_divvy,chicago_divvy,3,1337,-2.4065046415887537,0.6022412053578547
d3_chicago_divvy,chicago_divvy,4,1337,-2.4065046415887537,0.6880000461538605
d3_chicago_divvy,chicago_divvy,5,1337,-2.4065046415887537,0.629868344699897
d3_chicago_divvy,chicago_divvy,6,1337,-2.4065046415887537,0.6735151768324236
d3_chicago_divvy,chicago_divvy,7,1337,-2.4065046415887537,0.693737430944513
d3_chicago_divvy,chicago_divvy,8,1337,-2.4065046415887537,0.6408117711597916
d3_chicago_divvy,chicago_divvy,9,1337,-2.4065046415887537,0.6462832738968987
d3_dc_capitalbikeshare,dc_capitalbikeshare,0,765,2.0499362775869643,0.31154957814534645
d3_dc_capitalbikeshare,dc_capitalbikeshare,1,765,2.0499362775869643,0.4653277007388731
d3_dc_capitalbikeshare,dc_capitalbikeshare,2,765,2.0499362775869643,0.3201730354068618
d3_dc_capitalbikeshare,dc_capitalbikeshare,3,765,2.0499362775869643,0.30101163705739564
d3_dc_capitalbikeshare,dc_capitalbikeshare,4,765,2.0499362775869643,0.4421073012007407
d3_dc_capitalbikeshare,dc_capitalbikeshare,5,765,2.0499362775869643,0.44770040487392915
d3_dc_capitalbikeshare,dc_capitalbikeshare,6,765,2.0499362775869643,0.4454540925722196
d3_dc_capitalbikeshare,dc_capitalbikeshare,7,765,2.0499362775869643,0.3626680453843314
d3_dc_capitalbikeshare,dc_capitalbikeshare,8,765,2.0499362775869643,0.4940737789445636
d3_dc_capitalbikeshare,dc_capitalbikeshare,9,765,2.0499362775869643,0.38058396952615525
d3_sf_baywheels,sf_baywheels,0,552,-3.1464352207071085,0.5243865757810442
d3_sf_baywheels,sf_baywheels,1,552,-3.1464352207071085,0.6633160097539809
d3_sf_baywheels,sf_baywheels,2,552,-3.1464352207071085,0.5619747651852259
d3_sf_baywheels,sf_baywheels,3,552,-3.1464352207071085,0.6553472489897803
d3_sf_baywheels,sf_baywheels,4,552,-3.1464352207071085,0.6000285685553077
d3_sf_baywheels,sf_baywheels,5,552,-3.1464352207071085,0.6045898674035866
d3_sf_baywheels,sf_baywheels,6,552,-3.1464352207071085,0.5876136801491473
d3_sf_baywheels,sf_baywheels,7,552,-3.1464352207071085,0.5781008393761476
d3_sf_baywheels,sf_baywheels,8,552,-3.1464352207071085,0.6126408544879629
d3_sf_baywheels,sf_baywheels,9,552,-3.1464352207071085,0.598314167698062
