city_a,city_b,median,lower,upper,ci_width
Bay Wheels SF,BikeMi Milan,0.7378649741312271,0.5711958903804458,0.8514537171146731,0.2802578267342273
Vélo'v Lyon,Le VélO Bordeaux,0.7369680423645413,0.6155112534121417,0.8314734399437298,0.21596218653158805
VéLÔ Toulouse,Beryl Manchester,0.7369404453606168,0.607644797881242,0.8298773568644697,0.2222325589832277
BIXI Montréal,Le VélO Bordeaux,0.7367180720295983,0.613510354040244,0.810766413114909,0.19725605907466504
Capital DC,BiciMAD Madrid,0.7357038992291749,0.5740330809777555,0.8050562453916766,0.23102316441392112
Capital DC,Swabi Augsburg,0.7353185017902797,0.6199045356076814,0.8556232580580445,0.23571872245036307
Bluebikes Boston,Nextbike Berlin,0.7347369321965183,0.6277758711796363,0.8876425495832018,0.2598666784035655
Divvy Chicago,BikeMi Milan,0.734719849222838,0.5881361042959824,0.8283213109434481,0.24018520664746568
Citi Bike NYC,Le Vélo Marseille,0.7342687969956271,0.5967491919530226,0.8096667115283771,0.21291751957535454
Swabi Augsburg,Ecobici Buenos Aires,0.7339043589635843,0.5956553928078436,0.8189903696388491,0.22333497683100545
Bay Wheels SF,VéLÔ Toulouse,0.7335079134455593,0.5999475468403477,0.8339339059926066,0.23398635915225896
Nextbike Berlin,Swabi Augsburg,0.7331580854709218,0.6157271918614251,0.863167660835586,0.24744046897416094
VéLÔ Toulouse,Le VélO Bordeaux,0.7310641365889701,0.6168379552034683,0.8196385110855843,0.20280055588211598
Beryl Manchester,Valenbisi València,0.731048457205444,0.6006251825046242,0.8483877757974108,0.2477625932927866
BIXI Montréal,Velospot CH,0.7308947085819977,0.6969227052931727,0.7609697468189331,0.06404704152576046
Bike Share Toronto,Beryl Bournemouth,0.730378362518021,0.5939205890004499,0.8083554237025038,0.21443483470205393
Nextbike Praha,BiciMAD Madrid,0.7295389882648484,0.5735240119449946,0.7787851346352193,0.20526112269022467
